word,pos,sub-type,franchise,sub-franchise,number,prep
Zuul,noun,person,Ghostbusters,Ghostbusters,singular,
Egon Spengler,noun,person,Ghostbusters,Ghostbusters,singular,
Zorg,noun,person,The Fifth Element,The Fifth Element,singular,
The Keymaster,noun,person,Ghostbusters,Ghostbusters,singular,
Peter Venkman,noun,person,Ghostbusters,Ghostbusters,singular,
proton pack,noun,thing,Ghostbusters,Ghostbusters,singular,
ghost trap,noun,thing,Ghostbusters,Ghostbusters,singular,
pint of ale,noun,thing,Lord of the Rings,The Fellowship of the Ring,singular,
MUSHROOMS,noun,thing,Lord of the Rings,The Fellowship of the Ring,plural,
lembas bread,noun,thing,Lord of the Rings,The Two Towers,singular,
Arkenstone,noun,thing,Lord of the Rings,The Hobbit,singular,
Phial of Galadriel,noun,thing,Lord of the Rings,Lord of the Rings,singular,
Jawa,noun,species,Star Wars,Star Wars Original Trilogy,singular,
Jawas,noun,species,Star Wars,Star Wars Original Trilogy,singular,
Stay-Puft Marshmallow Man,noun,person,Ghostbusters,Ghostbusters,singular,
the Nazgul,noun,species,Lord of the Rings,Lord of the Rings,plural,
ugly cats,noun,species,REAL LIFE,REAL LIFE,plural,
AT-AT,noun,thing,Star Wars,Star Wars Original Trilogy,singular,
AT-ATs,noun,thing,Star Wars,Star Wars Original Trilogy,plural,
AT-ST,noun,thing,Star Wars,Star Wars Original Trilogy,singular,
AT-STs,noun,thing,Star Wars,Star Wars Original Trilogy,plural,
Thrall,noun,person,Warcraft,Warcraft II,singular,
